Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
7400.86;1913.23;1444.55;1.86;65.77;CHIST
7400.86;1918.23;1435.89;2.02;65;CHIST
7400.86;1921.02;1431.06;1.94;64.78;CHIST
7400.86;1922.75;1428.05;5.33;56.13;CHIST
7201.45;1703.27;1455.34;2.97;64.69;CHIST
7201.38;1706.34;1449.96;3.15;63.88;CHIST
7201.22;1710.26;1442.87;0.86;67.45;CHIST
7200.96;1715.13;1434.14;1.3;65.62;CHIST
7200.72;1719.04;1427.37;1.94;103.21;CHIST
7200.47;1722.94;1420.59;2.32;57.78;CHIST
7200.27;1725.9;1415.55;2.32;57.78;CHIST
7200.07;1728.9;1410.53;2.92;54.74;CHIST
7199.89;1731.51;1406.18;2.92;54.74;CHIST
7199.71;1734.12;1401.83;1.38;44.38;CHIST
7199.31;1739.41;1393.35;0.5;37.12;CHIST
7198.9;1744.49;1385.19;0.74;36.71;CHIST
7198.49;1749.45;1377.22;1.11;38.62;CHIST
7198.05;1754.62;1368.93;1.06;41.07;CHIST
7197.63;1759.55;1361;1.11;43.1;CHIST
7197.25;1763.99;1353.88;1.02;46.75;CHIST
7196.84;1768.77;1346.2;0.63;41.2;CHIST
7196.35;1774.15;1337.79;0.42;41.16;CHIST
7195.85;1779.57;1329.4;0.45;42.67;CHIST
7195.34;1785.04;1321.04;0.57;44.06;CHIST
7194.93;1789.45;1314.47;0.56;44.59;CHIST
7194.56;1793.33;1308.69;0.42;44.37;CHIST
7194.06;1798.31;1301.27;0.6;43.15;CHIST
7193.54;1803.35;1293.77;0.49;42.85;CHIST
7192.97;1808.56;1286.27;0.37;39.38;CHIST
7192.48;1812.99;1279.9;0.55;39.74;CHIST
7192.01;1817.13;1273.96;0.37;41.43;CHIST
7191.4;1822.5;1266.34;0.52;39.72;CHIST
7190.72;1828.27;1258.35;0.71;39.25;CHIST
7190.06;1833.78;1250.71;0.56;36.27;CHIST
7254.17;1759.67;1458.2;3.29;63.23;CHIST
7254.16;1762.35;1453.56;3.02;65.09;CHIST
7254.14;1766.25;1446.81;2.09;53.6;CHIST
7254.14;1768.9;1442.31;2.09;53.6;CHIST
7254.13;1771.52;1437.79;1.14;45.83;CHIST
7254.12;1776.52;1429.12;0.92;45.83;CHIST
7254.12;1781.52;1420.46;1.17;48.16;CHIST
7254.12;1786.52;1411.8;0.99;42.86;CHIST
7254.11;1791.52;1403.14;0.66;41.68;CHIST
7254.06;1796.52;1394.48;0.71;43.1;CHIST
7253.99;1801.52;1385.82;0.46;45.25;CHIST
7253.99;1806.56;1377.19;0.42;49.05;CHIST
7253.98;1811.56;1368.53;0.45;45.41;CHIST
7253.89;1816.56;1359.87;0.75;46.55;CHIST
7253.77;1820.58;1352.9;0.72;47.25;CHIST
7253.66;1824.07;1346.88;0.38;45.71;CHIST
7253.46;1828.64;1339.26;0.45;47.29;CHIST
7253.22;1833.35;1331.41;0.64;46.67;CHIST
7252.96;1837.63;1324.28;0.45;45.16;CHIST
7252.64;1842.44;1316.47;0.53;41.08;CHIST
7252.27;1847.72;1307.99;0.63;41.18;CHIST
7251.87;1853.01;1299.51;0.59;42.17;CHIST
7251.47;1858.29;1291.03;0.8;45.02;CHIST
7251.26;1861.32;1286.17;0.88;46.93;CHIST
7251.07;1864.33;1281.52;1.52;52.83;CHIST
7250.74;1869.68;1273.28;1.15;34.69;CHIST
7298.29;1733.43;1464.32;5.01;59.01;CHIST
7298.27;1737.43;1457.62;3.33;64.11;CHIST
7298.26;1742.79;1449.18;3.24;62.23;CHIST
7298.28;1746.06;1444.14;3.24;62.14;CHIST
7298.31;1748.97;1439.66;1.1;56.3;CHIST
7298.31;1754.07;1431.82;1.8;49.87;CHIST
7298.24;1759.66;1423.53;1.06;46.58;CHIST
7298.09;1765.25;1415.24;1.04;44.3;CHIST
7297.85;1770.94;1407.02;0.93;41.58;CHIST
7297.57;1776.67;1398.83;0.61;37.73;CHIST
7297.15;1782.43;1390.66;0.63;35.25;CHIST
7296.7;1788.29;1382.57;0.67;38.48;CHIST
7296.18;1794.25;1374.56;0.68;43.66;CHIST
7295.65;1800.33;1366.64;0.58;50.09;CHIST
7294.98;1806.5;1358.8;0.46;48.16;CHIST
7294.34;1812.76;1351.03;0.48;46.57;CHIST
7293.67;1819.14;1343.36;0.67;50.64;CHIST
7293.02;1825.66;1335.81;0.32;45.24;CHIST
7292.63;1829.53;1331.43;0.32;45.24;CHIST
7292.28;1833.43;1327.09;0.44;49.71;CHIST
7291.97;1837.01;1323.09;0.44;49.71;CHIST
7291.68;1840.6;1319.1;0.74;49.58;CHIST
7291.21;1847.39;1311.78;0.49;44.72;CHIST
7290.78;1854.34;1304.6;0.47;43.18;CHIST
7290.37;1861.47;1297.59;0.79;46.19;CHIST
7289.99;1868.72;1290.73;0.73;42.61;CHIST
7289.52;1876.11;1284;0.68;40.67;CHIST
7289.14;1883.53;1277.31;0.89;43.65;CHIST
7288.97;1888.28;1273.03;1.02;45.43;CHIST
7099.26;1767.14;1406.71;1.99;59.64;CHIST
7099.18;1772.29;1398.14;1.16;58.26;CHIST
7099.09;1775.79;1392.31;1.23;59.96;CHIST
7098.96;1778.88;1387.17;0.68;52.87;CHIST
7098.73;1782.6;1380.72;0.78;49.47;CHIST
7098.4;1786.71;1373.57;1.23;56.94;CHIST
7097.82;1791.68;1364.91;1.28;57.17;CHIST
7097.06;1796.62;1356.25;1.11;52.65;CHIST
7096.34;1800.63;1349.2;1.51;52.31;CHIST
7095.52;1804.63;1342.14;1.14;46.99;CHIST
7094.35;1809.65;1333.57;0.9;46.76;CHIST
7093.05;1814.63;1325;0.8;42.13;CHIST
7091.63;1819.58;1316.43;0.95;39.95;CHIST
7090.09;1824.53;1307.87;0.86;42.8;CHIST
7088.39;1829.54;1299.39;1.13;39.9;CHIST
7087.24;1832.66;1294.07;1.21;38.98;CHIST
6999.25;1801.03;1402.74;6.76;58.7;CHIST
6999.23;1805.06;1395.77;3.81;63.14;CHIST
6999.19;1810.1;1387.19;1.2;63.72;CHIST
6999.1;1815.25;1378.62;1.02;65.05;CHIST
6998.94;1820.39;1370.04;0.91;65.99;CHIST
6998.77;1825.39;1361.38;1.69;63.48;CHIST
6998.69;1828.29;1356.36;1.92;62.44;CHIST
7199.94;1761.19;1445.16;4.41;59.98;CHIST
7199.85;1765.09;1438.7;4.79;62.79;CHIST
7199.67;1769.63;1431.64;3.16;58.73;CHIST
7199.39;1774.6;1424.19;2.53;50.31;CHIST
7199.04;1779.59;1416.78;0.96;45.73;CHIST
7198.82;1782.57;1412.52;0.96;45.73;CHIST
7198.63;1785.62;1408.31;1.23;46.83;CHIST
7198.4;1788.99;1403.78;1.23;46.83;CHIST
7198.2;1792.4;1399.38;1.63;52.04;CHIST
7197.84;1798.24;1392.02;1.45;49;CHIST
7197.5;1804.22;1384.68;0.71;43.63;CHIST
7197.27;1810.72;1377.08;1.12;46.82;CHIST
7197.09;1817.33;1369.58;0.93;47.64;CHIST
7196.89;1821.24;1365.24;0.7;48.07;CHIST
7196.68;1824.26;1361.87;0.44;45.18;CHIST
7196.22;1830.05;1355.43;0.62;43.29;CHIST
7195.45;1836.73;1348.03;0.86;43.23;CHIST
7194.38;1843.52;1340.77;0.75;43.42;CHIST
7193.13;1850.42;1333.63;0.65;42.34;CHIST
7192.28;1854.65;1329.44;0.7;40.26;CHIST
7191.34;1858.95;1325.32;0.9;47.5;CHIST
7190.44;1863.04;1321.52;0.9;47.5;CHIST
7189.52;1867.13;1317.74;0.86;35.57;CHIST
7188.57;1871.02;1314.23;0.86;35.57;CHIST
7187.59;1874.9;1310.75;1.2;38.46;CHIST
6899.49;1717.27;1377.26;7.17;54.24;CHIST
6899.37;1722.45;1368.97;8.18;52.04;CHIST
6899.28;1727.62;1360.68;3.22;60.03;CHIST
6899.06;1733.06;1352.28;3.99;59.36;CHIST
6898.76;1738.49;1343.9;4.75;57.53;CHIST
6898.5;1743.97;1335.53;5.2;56.1;CHIST
6898.18;1749.55;1327.24;3.7;57.87;CHIST
6897.92;1753.17;1321.85;2.34;58.84;CHIST
6897.65;1756.31;1317.19;2.5;52.63;CHIST
6897.2;1761.17;1309.96;1.46;54.26;CHIST
6896.72;1766.51;1302;0.76;40.81;CHIST
6896.39;1772.16;1293.75;0.77;38.57;CHIST
6896.24;1777.29;1286.48;0.93;37.98;CHIST
6896.12;1782.44;1279.38;1.26;25.65;CHIST
6810.74;1704.89;1372.74;12.3;51.71;CHIST
6810.75;1709.77;1364.21;6.71;56.86;CHIST
6810.55;1739.96;1314.61;3.31;40.74;CHIST
6810.53;1745.25;1306.13;2.4;52.46;CHIST
6810.51;1750.55;1297.64;1.93;46.01;CHIST
6810.45;1755.36;1289.95;1.74;48.37;CHIST
6810.38;1759.89;1282.7;0.95;38.03;CHIST
6810.23;1764.98;1274.7;1.66;42.15;CHIST
6809.99;1770.09;1267.12;1.32;38.16;CHIST
6809.71;1775.16;1259.82;1.85;16.39;CHIST
7405.4;1821.25;1458.8;3.49;57.56;CHIST
7405.44;1826.4;1450.22;2.2;55.55;CHIST
7405.44;1829.06;1445.82;2.19;55.54;CHIST
7405.43;1831.79;1441.45;1.54;58.49;CHIST
7405.4;1834.75;1436.72;1.54;58.49;CHIST
7405.38;1837.64;1432.16;2.85;62.3;CHIST
7405.41;1843.01;1423.97;3.85;61.09;CHIST
7405.54;1848.69;1415.76;3.35;60.87;CHIST
7405.63;1851.84;1411.26;3.35;60.87;CHIST
7405.75;1855.07;1406.81;1.72;61.61;CHIST
7405.87;1858.46;1402.14;1.72;61.61;CHIST
7406;1861.96;1397.54;1.4;66.14;CHIST
7406.16;1865.88;1392.36;1.4;66.14;CHIST
7406.34;1869.87;1387.23;0.99;56.73;CHIST
7406.5;1872.96;1383.27;0.99;56.73;CHIST
7406.65;1875.81;1379.73;0.84;49.81;CHIST
7407;1881.85;1372.38;1.48;62.42;CHIST
7407.24;1885.35;1368.2;1.48;62.42;CHIST
7407.51;1888.88;1364.06;1.19;47.82;CHIST
7408.03;1895.44;1356.53;0.69;41.97;CHIST
7408.53;1901.84;1349.39;0.82;40.25;CHIST
7408.99;1907.68;1342.89;2.24;53.28;CHIST
7409.48;1913.78;1336.09;0.91;43.13;CHIST
7409.98;1920.46;1328.66;1.22;39.66;CHIST
7410.26;1924.49;1324.17;1.29;38.92;CHIST
6600.85;1758.75;1321.01;2.7;50.53;CHIST
6601.12;1764.33;1312.72;2.34;50.68;CHIST
6601.31;1768.28;1306.85;2.25;50.72;CHIST
6672.13;1776.55;1288.72;1.75;55.49;CHIST
6749.88;1442.63;1297.2;1.15;49.21;CHIST
6749.88;1444.08;1293.23;0.28;42.22;CHIST
6750;1449.05;1280.31;0.19;43.98;CHIST
6750.17;1452.85;1271.06;0.19;50.39;CHIST
6750.5;1456.75;1261.86;0.38;47.98;CHIST
6750.81;1460.07;1254.31;0.67;41.63;CHIST
6752;1473.44;1226.15;0.1;50.01;CHIST
6753.05;1487.46;1198.3;0.14;53.76;CHIST
6753.19;1490.79;1191.75;0.14;51.56;CHIST
6753.27;1494.08;1185.18;0.21;67.94;CHIST
6753.28;1498.46;1176.19;0.22;68.98;CHIST
6753.21;1501.59;1169.79;0.28;68.82;CHIST
6753.15;1503.34;1166.17;0.84;65.32;CHIST
6753;1506.26;1159.91;0.52;41.34;CHIST
6752.79;1510.29;1151.26;0.4;36.96;CHIST
6752.58;1514.32;1142.6;0.32;37.2;CHIST
6752.43;1516.64;1137.62;0.32;37.2;CHIST
6752.3;1518.7;1133.18;0.34;33.19;CHIST
6752.03;1522.67;1124.66;0.17;40;CHIST
6751.86;1524.81;1120.06;0.17;40;CHIST
6751.67;1526.93;1115.48;0.32;37.39;CHIST
6700.26;1154.96;1343.9;1.11;57.71;CNEW
6700.41;1152.44;1335.1;0.82;55.52;CNEW
6700.56;1150.04;1326.69;2.11;51.57;CNEW
6700.95;1144.87;1308.62;1.52;37.79;CNEW
6701.18;1142.12;1299;1.61;35.51;CNEW
6701.45;1139.38;1289.39;1.81;38.77;CNEW
6701.74;1136.48;1279.83;1.9;47.13;CNEW
6702.05;1133.57;1270.26;2.11;36.07;CNEW
6702.35;1130.66;1260.7;1.57;35.74;CNEW
6702.6;1128.13;1252.2;1.68;43.42;CNEW
6702.97;1124.89;1241.51;2.64;40.61;CNEW
6703.16;1123.38;1236.54;2.64;40.61;CNEW
6703.35;1121.87;1231.57;0.78;33.58;CNEW
6703.74;1118.97;1222;1.11;32.03;CNEW
6704.09;1116.07;1212.44;1.1;29.47;CNEW
6704.44;1113.37;1203.55;0.6;31.33;CNEW
6704.82;1110.68;1194.65;1.22;29.93;CNEW
6705.2;1107.84;1185.07;1.74;30;CNEW
6705.54;1105.1;1175.46;1.3;20.95;CNEW
6705.9;1102.37;1165.85;1.86;22.53;CNEW
6706.27;1099.64;1156.23;1.35;17.01;CNEW
6706.47;1098.22;1151.24;1.32;16.72;CNEW
7199.47;1610.33;1455.31;1.44;66.98;CHIST
7199.41;1615.35;1446.66;1.6;66.59;CHIST
7199.33;1620.47;1438.07;0.89;65.12;CHIST
7199.2;1625.46;1429.41;1.34;65.15;CHIST
7199.07;1628.04;1424.95;1.58;65.38;CHIST
7198.85;1630.6;1420.49;0.54;61.48;CHIST
7198.3;1635.48;1412.18;0.42;61.89;CHIST
7197.68;1640.32;1403.85;0.69;62.36;CHIST
7197.14;1644.43;1396.75;0.53;62.02;CHIST
7196.67;1648.64;1389.7;0.39;57.83;CHIST
7196.15;1653.59;1381.41;0.62;56.25;CHIST
7195.67;1658.55;1373.11;1.9;41.27;CHIST
7195.26;1662.68;1366.21;1.95;46.01;CHIST
7194.82;1666.8;1359.31;1.15;59.38;CHIST
7194.16;1671.91;1350.74;1.49;55.59;CHIST
7193.45;1676.82;1342.49;0.97;60.87;CHIST
7192.64;1681.71;1334.24;1.12;44.84;CHIST
7191.67;1686.77;1325.67;0.93;39.62;CHIST
7190.6;1691.8;1317.1;0.66;38.16;CHIST
7189.46;1696.82;1308.52;0.73;41.63;CHIST
7188.78;1699.59;1303.79;0.73;41.76;CHIST
7188.14;1702.04;1299.57;0.46;38.3;CHIST
7186.89;1706.58;1291.9;0.33;38.14;CHIST
7185.45;1711.46;1283.75;0.4;38.36;CHIST
7183.95;1716.54;1275.27;0.41;36.86;CHIST
7182.45;1721.62;1266.79;0.75;35.68;CHIST
7181.64;1724.45;1262.09;0.8;35.53;CHIST
6699.94;1405.81;1286.17;0.22;45.59;CNEW
6699.94;1400.81;1277.51;0.31;47.26;CNEW
6699.94;1396.83;1270.6;0.4;46.18;CNEW
6699.94;1392.84;1263.69;0.18;38.17;CNEW
6699.94;1390.15;1259.04;0.18;38.17;CNEW
6699.94;1387.65;1254.71;2.04;34.24;CNEW
6699.94;1382.84;1246.37;0.34;35.05;CNEW
6699.94;1377.84;1237.71;0.13;39.93;CNEW
6699.94;1372.84;1229.05;0.15;40.18;CNEW
6699.94;1367.84;1220.39;0.21;37.35;CNEW
6699.94;1364.59;1214.76;0.24;37.49;CNEW
6700.09;1413.85;1286.34;0.29;49.29;CHIST
6700.09;1418.64;1278.05;0.29;55.66;CHIST
6700.09;1421.35;1273.35;0.29;55.66;CHIST
6700.09;1424.06;1268.65;0.26;67.36;CHIST
6700.09;1427.82;1262.14;0.23;67.4;CHIST
6700.09;1431.59;1255.62;0.73;53.52;CHIST
6700.09;1434.77;1250.1;0.73;53.52;CHIST
6700.09;1437.96;1244.58;0.36;44.98;CHIST
6700.09;1441.26;1238.86;0.32;45.98;CHIST
7200.16;1512.43;1455.77;0.92;39.81;CHIST
7200.16;1509.67;1448.18;0.34;32.82;CHIST
7100.25;1423.42;1381.84;0.87;58.64;CNEW
7100.2;1428.42;1373.18;0.81;56.39;CNEW
7100.14;1432.98;1365.27;0.6;54.05;CNEW
7100.09;1437.55;1357.37;0.58;50.39;CNEW
7100.05;1441.78;1350.03;0.83;49.97;CNEW
7100.05;1446.02;1342.69;0.4;41.07;CHIST
7100.02;1451.02;1334.03;0.23;41.48;CHIST
7099.96;1455.89;1325.3;0.27;41.79;CHIST
7099.99;1459.28;1319.17;0.33;46.27;CHIST
7100.09;1464.85;1309.46;0.22;49.74;CHIST
7100.16;1469.85;1300.8;0.5;45;CHIST
7100.2;1472.94;1295.43;0.57;43.88;CHIST
6600;1232.67;1338.92;0.62;62.04;CNEW
6600.03;1231.37;1331.74;0.53;63.63;CNEW
6600.06;1230.01;1324.74;1.19;51.98;CNEW
6600.1;1228.14;1315.1;0.93;49.08;CNEW
6600.16;1226.23;1305.28;0.82;44.41;CNEW
6600.21;1224.32;1295.47;0.45;42.9;CNEW
6600.23;1222.95;1288.42;0.38;42.6;CNEW
6600.24;1221.58;1281.38;2.76;32.25;CNEW
6600.24;1220.55;1276.06;2.76;32.25;CNEW
6600.21;1218.3;1265.08;0.67;46.64;CNEW
6600.16;1216.51;1256.65;0.56;45.98;CNEW
6600.1;1214.72;1247.72;0.47;51.15;CNEW
6600.03;1212.82;1237.91;0.64;44.87;CNEW
6599.95;1211.05;1228.8;1.02;39.25;CNEW
6599.85;1209.17;1219.11;0.91;40.44;CNEW
6599.83;1208.24;1213.33;0.91;40.44;CNEW
7299.95;1133.28;1340.93;5.45;57.17;CNEW
7299.9;1127.68;1332.64;4.77;58.37;CNEW
7299.89;1122.06;1324.37;4.65;53.71;CNEW
7299.92;1116.47;1316.39;3.85;51.95;CNEW
7299.97;1110.86;1308.41;1.52;51.49;CNEW
7300.03;1104.99;1300.32;1.27;51.48;CNEW
7300.08;1098.99;1292.32;1.32;46.76;CNEW
7300.1;1092.87;1284.4;2.27;44.3;CNEW
7300.12;1088.8;1279.18;2.31;47.31;CNEW
7300.19;1084.51;1273.62;1.83;48.1;CNEW
7300.34;1078.88;1266.16;3.91;56.4;CNEW
7300.52;1074.85;1260.81;4.15;56.7;CNEW
7300.75;1070.99;1255.67;2.6;35.96;CNEW
7301.15;1065.15;1247.91;1.84;28.12;CNEW
7301.54;1060.23;1241.36;2.13;19.78;CNEW
7400.43;1168.71;1388.72;2.14;60.22;CNEW
7400.45;1165.01;1382.31;2.68;59.21;CNEW
7400.5;1158.42;1370.88;2.53;62.99;CNEW
7400.51;1155.87;1366.29;2.53;62.99;CNEW
7400.6;1146.49;1349.37;1.96;53.91;CNEW
7400.64;1143.22;1343.46;1.96;53.91;CNEW
7400.69;1139.95;1337.56;2.06;57.26;CNEW
7400.74;1135.1;1328.81;2.32;53.23;CNEW
7400.78;1131.84;1322.93;2.4;52.06;CNEW
7400.81;1128.58;1317.05;3.19;32.23;CNEW
7400.83;1125.96;1312.33;3.19;32.23;CNEW
7400.85;1123.34;1307.6;1.72;25.61;CNEW
7400.86;1118.49;1298.86;2.99;24.33;CNEW
7400.84;1113.65;1290.11;6.77;25.43;CNEW
7400.8;1108.85;1281.33;3.89;24.35;CNEW
7400.77;1104.16;1272.51;1.98;17.11;CNEW
7400.74;1099.46;1263.68;2.45;15.95;CNEW
7400.72;1094.77;1254.85;3.45;12.56;CNEW
7400.72;1090.07;1246.02;3.53;11.64;CNEW
7400.75;1085.38;1237.19;0.95;19.54;CNEW
7400.8;1080.68;1228.36;1.09;25.06;CNEW
7400.84;1076.63;1220.74;1.85;24.2;CNEW
7500.39;1274.65;1410.65;2.66;62.71;CNEW
7500.39;1272.01;1403.71;1.13;68.02;CNEW
7500.42;1269.17;1396.42;4.13;62.65;CNEW
7500.46;1265.87;1388.24;1.48;66.8;CNEW
7500.56;1262.02;1379.01;0.98;67.93;CNEW
7500.64;1259.88;1373.83;1.25;67.54;CNEW
7500.7;1257.78;1368.64;1.5;65.64;CNEW
7500.81;1254.39;1360.25;1.86;64.76;CNEW
7500.91;1251.01;1351.86;2.57;44.09;CNEW
7500.97;1248.92;1346.69;2.57;44.09;CNEW
7501.01;1247.5;1343.19;1.52;47.66;CNEW
7501.08;1244.47;1335.68;2.38;32.02;CNEW
7501.16;1240.76;1326.5;2.4;30.89;CNEW
7501.23;1236.86;1317.29;2.6;30.5;CNEW
7501.24;1233.02;1308.25;1.34;29.17;CNEW
7501.19;1229.19;1299.21;1.24;27.75;CNEW
7501.06;1225.28;1290;1.69;24.96;CNEW
7500.83;1221.26;1280.85;1.96;24.72;CNEW
7500.5;1217.08;1271.77;1.75;28.94;CNEW
7500.14;1212.87;1262.71;1.93;25.89;CNEW
7499.83;1209.75;1256.06;1.77;19.84;CNEW
7499.5;1206.54;1249.45;1.66;14.71;CNEW
7499.02;1202.19;1240.47;1.75;12.69;CNEW
7498.55;1198.25;1232.33;2.14;14.17;CNEW
7300.9;1229.96;1388.12;11.7;51.75;CNEW
7300.93;1226.62;1382.34;12.11;51.66;CNEW
7300.98;1223.99;1377.89;1.83;61.34;CNEW
7301.05;1220.14;1371.48;1.47;65.34;CNEW
7301.11;1216.24;1364.99;1.02;60.49;CNEW
7301.21;1210.86;1356.03;3.54;56.67;CNEW
7301.34;1205.71;1347.46;4.57;49.67;CNEW
7301.46;1200.79;1339.27;5.15;46.69;CNEW
7301.58;1196.23;1331.69;1.64;51.7;CNEW
7301.68;1191.44;1323.72;1.38;62.63;CNEW
7301.74;1188.33;1318.53;1.38;62.63;CNEW
7301.8;1185.21;1313.34;0.98;52.73;CNEW
7301.83;1182.48;1308.8;0.98;52.73;CNEW
7301.86;1179.81;1304.28;1.49;51.7;CNEW
7301.92;1175.04;1296.3;0.92;37.69;CNEW
7301.94;1170.22;1288.29;2.74;54.93;CNEW
7301.97;1165.56;1280.53;3.93;47.74;CNEW
7302.02;1160.11;1271.47;1.52;45.78;CNEW
7302.08;1155.05;1263.04;1.75;63;CNEW
7302.13;1152.08;1258.09;1.75;63;CNEW
7302.16;1149.85;1254.39;2.31;61.43;CNEW
7302.22;1146.1;1248.15;1.77;59.09;CNEW
7302.3;1141.61;1240.67;1.49;43.36;CNEW
7302.38;1136.46;1232.1;2.11;36.19;CNEW
7302.43;1132.48;1225.48;2.39;33.04;CNEW
7302.51;1128.51;1218.86;2.7;30;CNEW
7302.57;1125.53;1213.91;2.7;30;CNEW
7302.63;1122.56;1208.96;3.12;24.93;CNEW
7302.74;1117.41;1200.39;3.26;22.82;CNEW
7302.86;1112.26;1191.81;1.72;25.88;CNEW
7302.98;1107.11;1183.24;2.13;27.51;CNEW
7303.11;1101.96;1174.67;2.83;24.14;CNEW
7303.18;1098.86;1169.51;2.42;17.05;CNEW
7201.88;1260.24;1382.87;1.82;55.68;CNEW
7201.95;1255.67;1375.14;5.77;59.18;CNEW
7201.99;1253.03;1370.69;5.77;59.18;CNEW
7202.03;1250.44;1366.21;7.7;54.6;CNEW
7202.11;1247.74;1361.42;7.7;54.6;CNEW
7202.17;1245.9;1358.1;1.12;60.78;CNEW
7202.36;1241.88;1350.84;1.21;58.27;CNEW
7202.61;1237.15;1342.03;1.38;59.58;CNEW
7202.8;1233.64;1335.41;1.43;55.62;CNEW
7203.01;1230.12;1328.79;0.71;48.4;CNEW
7203.32;1225.51;1320.09;0.63;42.3;CNEW
7203.59;1221.55;1312.63;0.87;41.2;CNEW
7203.84;1217.87;1305.7;2.2;61.14;CNEW
7204.14;1213.54;1297.53;1.21;39.89;CNEW
7204.5;1208.86;1288.7;1.27;38.87;CNEW
7204.91;1204.18;1279.87;1.29;39.98;CNEW
7205.24;1200.56;1273.03;1.32;42.57;CNEW
7205.55;1197.38;1267.02;0.64;35.3;CNEW
6599.95;1341.89;1297.68;1;43.2;CNEW
6599.99;1346.83;1288.98;1.61;48.45;CNEW
6600.02;1351.12;1281.24;1.6;44.5;CNEW
6600.06;1354.85;1274.51;0.75;58.45;CNEW
6600.14;1359.14;1266.77;0.54;53.68;CNEW
6600.21;1361.74;1262.06;0.54;53.68;CNEW
6600.28;1364.35;1257.36;1.25;45.43;CNEW
6600.45;1369.19;1248.62;0.59;44.67;CNEW
6600.63;1373.44;1240.86;0.5;45.7;CNEW
6600.81;1377.59;1233.04;0.15;49.05;CNEW
6601;1382.25;1224.28;0.12;53.75;CNEW
6601.13;1386.37;1216.53;0.24;44.43;CNEW
6601.23;1390.52;1208.72;0.18;48.75;CNEW
6601.36;1395.11;1199.83;0.28;55.35;CNEW
6601.43;1397.52;1195.09;0.28;55.35;CNEW
6601.51;1399.94;1190.34;0.38;52.38;CNEW
6601.64;1403.93;1182.42;0.47;57.97;CNEW
6601.76;1407.82;1174.44;0.24;68.27;CHIST
6601.83;1410.15;1169.65;0.24;68.27;CHIST
6601.88;1412.21;1165.43;0.79;51.25;CHIST
6602.01;1416.32;1157;0.84;54.29;CHIST
6602.14;1420.38;1148.67;-0.02;55.7;CHIST
6602.29;1424.44;1140.33;0.28;51.56;CHIST
6602.38;1426.85;1135.36;0.28;51.56;CHIST
6602.78;1440.47;1105.88;0.45;38.05;CHIST
6602.77;1444.54;1096.75;0.3;33.69;CHIST
6602.73;1447.6;1089.87;0.25;32.27;CHIST
6650.05;1379.19;1298.27;0.28;46.97;CNEW
6650.04;1380.18;1294.55;0.77;64.36;CNEW
6650.02;1382.79;1284.61;0.57;53.75;CNEW
6649.98;1385.26;1274.92;0.2;46.88;CNEW
6649.95;1387.71;1265.22;0.14;44.69;CNEW
6649.94;1390.2;1255.54;0.13;43.22;CNEW
6649.91;1392.62;1245.84;0.15;42.71;CNEW
6649.88;1394.83;1236.98;0.25;54.33;CNEW
6649.84;1396.97;1228.4;0.4;65.12;CNEW
6649.8;1399.14;1219.66;0.34;57.57;CNEW
6649.77;1401.39;1210.66;0.39;48.26;CNEW
6649.75;1402.69;1205.42;0.39;48.26;CNEW
6649.73;1404;1200.18;0.3;43.14;CNEW
6649.69;1406.05;1191.94;0.22;45.52;CNEW
6649.64;1408.03;1184.52;0.42;50.84;CNEW
6649.58;1410.36;1175.65;0.21;67.41;CHIST
6649.54;1411.72;1170.55;0.21;67.41;CHIST
6649.51;1412.95;1165.96;0.16;54.64;CHIST
6649.43;1415.4;1156.81;0.14;57.51;CHIST
6649.39;1416.81;1151.55;0.14;57.51;CHIST
6649.34;1418.22;1146.28;0.19;66.15;CHIST
6649.23;1420.81;1136.62;0.72;68.19;CHIST
6649.14;1422.97;1128.56;0.83;67.87;CHIST
6649.05;1425.03;1120.85;0.63;65.22;CHIST
6648.93;1427.52;1111.56;0.16;68.72;CHIST
6648.86;1429.2;1105.25;0.16;68.51;CHIST
6648.81;1430.63;1099.94;0.35;57.28;CHIST
6648.7;1432.95;1091.27;0.14;42.29;CHIST
6648.59;1434.87;1084.1;0.1;40.38;CHIST
6648.36;1438.92;1068.93;0.1;39.57;CHIST
6857.08;1471.11;1318.4;0.36;49.87;CHIST
6857.08;1476.14;1309.75;0.72;39.85;CHIST
6857.08;1479.02;1304.95;0.72;39.85;CHIST
6857.02;1492.43;1282.62;0.2;46.4;CHIST
6856.93;1498.18;1272.61;0.21;46.24;CHIST
6856.93;1498.2;1272.64;0.21;46.24;CHIST
6856.77;1502.76;1264.74;0.25;68.1;CHIST
6856.59;1507.75;1256.08;0.34;68.51;CHIST
6856.44;1512.2;1248.37;0.55;67.15;CHIST
6856.25;1516.65;1240.66;1.11;64.53;CHIST
6855.99;1521.64;1232;0.58;66.81;CHIST
6855.85;1524.35;1227.3;0.57;66.89;CHIST
6855.7;1527.06;1222.6;0.33;45.43;CHIST
6855.43;1532.05;1213.94;0.47;34.05;CHIST
6855.21;1535.24;1208.4;0.48;33.26;CHIST
6854.99;1538.4;1202.92;0.57;33.1;CHIST
6854.68;1542.81;1195.26;0.8;32.26;CHIST
6854.37;1547.26;1187.53;0.49;32.88;CHIST
6854.08;1551.38;1180.39;0.3;33.08;CHIST
6853.82;1555.12;1173.89;0.59;26.23;CHIST
6850.22;1352.44;1320.39;1;62.25;CNEW
