Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
7499.97;1352.72;1324.77;0.99;44.17;CNEW
7499.97;1347.72;1316.11;0.89;42.98;CNEW
7499.97;1344.67;1310.82;0.82;42.94;CNEW
7499.97;1341.77;1305.8;1.18;43.53;CNEW
7499.97;1337.05;1297.62;0.9;38.4;CNEW
7499.97;1332.42;1289.61;2.23;61.66;CNEW
7499.97;1327.92;1281.81;0.63;38.11;CNEW
7500.2;1891.27;1453.94;2.23;61.63;CHIST
7500.2;1895.95;1445.85;2.29;62.95;CHIST
7500.2;1900.95;1437.19;3.43;64.56;CHIST
7500.2;1905.14;1429.93;4.53;62.94;CHIST
7500.2;1909.32;1422.68;2.56;58.08;CHIST
7500.2;1913.64;1415.21;2.63;58.68;CHIST
7500.2;1917.7;1408.17;2.97;58.04;CHIST
7500.2;1922.32;1400.16;1.4;59.91;CHIST
7500.2;1927.2;1391.72;1.13;59.16;CHIST
7500.2;1929.95;1386.96;1.13;59.16;CHIST
7500.2;1932.7;1382.19;2.61;61.56;CHIST
7500.2;1937.52;1373.84;4.07;58.54;CHIST
7300.14;1528.39;1489.98;1.92;64.08;CHIST
7300.14;1525.05;1484.2;0.78;64.99;CHIST
7300.14;1521.5;1478.05;1.08;58.48;CHIST
7300.14;1516.66;1469.67;0.85;62.38;CHIST
7300.14;1498.74;1438.63;0.28;52.51;CHIST
7300.14;1493.74;1429.97;0.21;54.51;CHIST
7300.14;1489.03;1421.8;0.21;54.79;CHIST
7300.14;1485.32;1415.37;0.1;41.68;CHIST
7300.14;1481.32;1408.45;0.22;46.66;CHIST
7300.14;1477.43;1401.71;0.24;47.75;CHIST
7299.99;1686.66;1463.88;1.36;65.94;CHIST
7299.99;1689.43;1459.07;1.36;65.94;CHIST
7299.99;1691.64;1455.26;2.33;62.6;CHIST
7299.99;1696.06;1447.59;1.03;64.77;CHIST
7299.99;1701.06;1438.93;1.7;66.13;CHIST
7299.99;1705.28;1431.62;1.66;65.19;CHIST
7299.99;1709.51;1424.3;1.11;58.71;CHIST
7299.99;1714.01;1416.5;1.27;59.74;CHIST
7299.99;1718.51;1408.71;1.37;47.86;CHIST
7299.99;1723.51;1400.05;1.32;49.46;CHIST
7299.99;1727.89;1392.47;1.28;44.13;CHIST
7400;1866.7;1454.44;2.39;63.17;CHIST
